"""01/2016""   ",6.11E+19
"""01/2017""   ",5.62E+19
"""01/2018""   ",1.12E+19
"""01/2019""   ",4.25E+18
"""02/2016""   ",6.55E+19
"""02/2017""  ",5.56E+19
"""02/2018""   ",6.23E+18
"""03/2016""   ",4.59E+19
"""03/2017""   ",1.77E+20
"""03/2018""  ",2.73E+18
"""04/2016""   ",2.27E+19
"""04/2017""   ",1.11E+20
"""04/2018""   ",2.45E+18
"""05/2016""  ",4.70E+19
"""05/2017""   ",1.25E+20
"""05/2018""   ",2.50E+18
"""06/2016""   ",3.05E+19
"""06/2017""   ",5.68E+19
"""06/2018""   ",2.81E+18
"""07/2016""  ",9.58E+19
"""07/2017""   ",6.50E+19
"""07/2018""   ",2.27E+18
"""08/2015""   ",4.81E+20
"""08/2016""  ",5.91E+19
"""08/2017""  ",4.83E+19
"""08/2018""   ",2.40E+18
"""09/2015""   ",7.05E+19
"""09/2016""   ",3.26E+19
"""09/2017""   ",3.44E+19
"""09/2018""   ",3.73E+18
"""10/2015""   ",7.42E+19
"""10/2016""   ",3.24E+19
"""10/2017""   ",2.68E+19
"""10/2018""   ",3.07E+18
"""11/2015""   ",5.95E+19
"""11/2016""   ",3.96E+19
"""11/2017""   ",2.96E+19
"""11/2018""   ",5.40E+18
"""12/2015""   ",2.68E+19
"""12/2016""   ",6.15E+19
"""12/2017""   ",1.37E+19
"""12/2018""   ",5.94E+18
